Sample Names	MutationTypes	ID1	ID2	ID9
B1_100RPMI_P1_C1	1:Del:C:0	0.000453800975206453	0.012814850108064883	0.9867313489167286
B1_100RPMI_P1_C1	1:Del:C:1	0.0073960956768003685	0.00019777459901563625	0.992406129724184
B1_100RPMI_P1_C1	1:Del:C:2	1.183947243605268e-15	0.0010411509409571685	0.9989588490590418
B1_100RPMI_P1_C1	1:Del:C:3	0.125087681990727	0.15171727701909907	0.723195040990174
B1_100RPMI_P1_C1	1:Del:C:4	0.04083860783971623	0.2088181605293733	0.7503432316309105
B1_100RPMI_P1_C1	1:Del:C:5	0.19713110105630471	0.8001488691141415	0.002720029829553762
B1_100RPMI_P1_C1	1:Del:T:0	0.01113346288336368	0.06281033276567141	0.9260562043509649
B1_100RPMI_P1_C1	1:Del:T:1	7.199484258369816e-17	8.041173601960747e-17	0.9999999999999998
B1_100RPMI_P1_C1	1:Del:T:2	0.009689681415016879	0.06814344628427697	0.9221668723007062
B1_100RPMI_P1_C1	1:Del:T:3	0.016542493221128562	0.13645930416393404	0.8469982026149375
B1_100RPMI_P1_C1	1:Del:T:4	0.029314869113265286	0.3012591709756542	0.6694259599110804
B1_100RPMI_P1_C1	1:Del:T:5	4.33544269617561e-18	0.998735855929506	0.001264144070493966
B1_100RPMI_P1_C1	1:Ins:C:0	0.2622323425170722	0.29288983968222104	0.4448778178007067
B1_100RPMI_P1_C1	1:Ins:C:1	1.5432209629546132e-14	0.9906600907763784	0.009339909223606207
B1_100RPMI_P1_C1	1:Ins:C:2	8.47557155728746e-15	0.06279010977995603	0.9372098902200355
B1_100RPMI_P1_C1	1:Ins:C:3	0.6776085059557756	0.3223914940442199	4.497779534182682e-15
B1_100RPMI_P1_C1	1:Ins:C:4	0.3956328268548421	0.6038703917064329	0.0004967814387250012
B1_100RPMI_P1_C1	1:Ins:C:5	0.7404562592579829	0.2572123892143458	0.0023313515276713304
B1_100RPMI_P1_C1	1:Ins:T:0	0.13740804737565265	0.07481322056408511	0.7877787320602622
B1_100RPMI_P1_C1	1:Ins:T:1	0.003724613917784732	3.4168212640760423e-16	0.9962753860822149
B1_100RPMI_P1_C1	1:Ins:T:2	0.0602514183865065	0.18918610442161518	0.7505624771918783
B1_100RPMI_P1_C1	1:Ins:T:3	0.6133261448008565	0.1464940547676719	0.2401798004314715
B1_100RPMI_P1_C1	1:Ins:T:4	0.7722680608552516	0.1514031522173337	0.07632878692741472
